username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
kurniadihito,TOMBOL Pendukung DINASTI ORDAL ====>>>,0,0,0,,
iis_1202,👏👏👏🔥❤️😍✌️,0,0,0,,
adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢,43,35,0,,
rindyssss,@adya_llss keknya matakau yg buta,55,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
adya_llss,@rindyssss udah diem pasukan asam sulfat 😂,5,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
bebyila02,"@adya_llss itu hak mbak, terserah pilih siapa",17,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
febyayyyyyu,@adya_llss 😢 kasian kamu sendirian,11,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
kaka_syantik_,@adya_llss dari pada catatan kpk,6,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
kaka_syantik_,@rindyssss yg ngaku cerdas biasanya omongan aja giliran di serang bar bargk punya otak,3,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
xssrlwy,@adya_llss matamu seng buta✌🏼🙊,1,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
deddy.rams,"@adya_llss kan udah dibayar mba, masa iya artis mau ikut kampanye ga dibayar",0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
khb_khl,@adya_llss 02❤️,0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
rifmanurung,@adya_llss lu yang diem cari lapak komen di anis aja lu,0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
_.sokebahtera,@adya_llss kalo mau komen minimal riset dulu la biar ga nampak dongonya,1,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
micro_verse98,"@adya_llss udah fokus aja maen tiktok kak biar besok bisa makan pake ikan kasian kalo makan pake ubi terus, dagang balon di simpang jg bagus tuh🙇",0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
kartikashr_,@adya_llss terserah lah ngapain lu ngatur² urus aja suara lu😂 ngapain ngurusin hak suara org,0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
garbaputra86,@adya_llss lu kali matalu buta 😂😂 GK mikir pake otak apa Ama janji² manis Anies sama Ganjar 😂😂😂,0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
deypanjaitan,@adya_llss brisik. Gasuka gausah ngehasut org,0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
timo.zendt,@adya_llss lonte diam aja sih kataku😂,0,0,1,adya_llss,Bingun sama artis artis mereka padahal rata rata berpendidikan tinggi.. Tapi apa buta mata buta hati banyak dukung paslon yang punya wakil jalur MK dan curang 😢
