username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
defri_ade_putra,Annissss. Presidennn,0,0,0,,
tubagus_roni,"Yg memilih anies bkn karena kepentingan, tapi karena rata² yg berpendidikan.",0,0,0,,
safaate,Tetap anis terbaik rekam jejak nasional dan mendunia,0,0,0,,
mochfendy64,Silahkan bakar bakar uang buat bayar banyak artis. 01 bersama rakyat yg ikhlas.,0,0,0,,
milatariputri,Syarat jadi capres gak ada tes kesehatan kah? Secara tugas presiden berat. Butuh fisik sehat juga.,0,0,0,,
eksofri,Eeee muncul lagi makan gratis susu gratis ....jangan kau hina kami pak,0,0,0,,
eko.sutrisno83,Jalan aja susah....,0,0,0,,
danu_candra,Jalan nya wes sempoyongan,0,0,0,,
jenysucianiii,Kota Pekanbaru Prop Riau tetap full dukung Amin,0,0,0,,
cicinggg_06,❤️❤️✌️✌️✌️,0,0,0,,
nasikuningfariz_nkf.id,Amin🔥🔥🔥,0,0,0,,
samsulrizal832,Yangdisuruh joget udah mau jatuh.. Mas mau mipin negara cuman modal joget2 dowan 😂😂😂😂😂😂goblokkkk,0,0,0,,
pakzhig63,Prabowo menang badai demo anarkis akan di gaungkan oleh duo sengkuni amin rais & Megatron,0,0,0,,
abdilahmutakhin,Mana bagian tanya jawab om ko kaga ada🤣🤣🤣,0,1,0,,
abdilahmutakhin,@abdilah02mutakhin PoV tanya jawab: makan siang gratis 🗿,0,0,1,abdilahmutakhin,Mana bagian tanya jawab om ko kaga ada🤣🤣🤣
nopi.indrayani,Kalau acara pak Anis selalu full rakyat. Kasihan ini yg pertama bagi mereka 😂😂,0,0,0,,
nopi.indrayani,Anis presiden Indonesia 2024 🤲 Amin,0,0,0,,
yuzh21,01 utk perubahan,0,0,0,,
tanwir_uwi_12,Bismillah AMIN tetap dihati❤️🔥,0,0,0,,
ilhamvegeance28,KAYAKNYA DI MANADO 03 LEBIH RAME 🤟🤣,0,0,0,,
aisyahrifta,Bismillah smoga pak prabowo gibran presidenku amiin ya allah,0,0,0,,
rizki_nurd,Gua mah ngeri jatoh.. Kasih tongkat ngapa sih.. Tega amat pada.. 😂,0,0,0,,
cahayahati.05,Satu putaran Prabowo Gibran ❤️,0,0,0,,
ipahmulyani212,AMIN MENANG,0,0,0,,
jac.kbrown86,hanya sebuah ironi...untuk menciptakan keadilan adalah sebuah gambaran km 50 kanjuruhan rempang di situ ada 3 tokoh besar menjabat jokowi prabowo dan machfud md...hasil nya hanya omong kosong,0,0,0,,
maulanasojadi,Berani buat acara seperti desak Anies gak yg mencerdaskan?,0,0,0,,
ilalankk,"Joget aja , gagasan ngak ada , rugi dong 😂😂",0,0,0,,
yusronamrillah,Serah lu dh kata ijtima' ulama juga Anis,0,0,0,,
yolandagrosir_,bayaran semua😂😂😂😂😂😂 bocah kosong,0,0,0,,
katana_ridwan,AMPAS,0,0,0,,
widyadwisarahputri,"kalo ga banyak artis & ga ada yg dibagi², kira² bakalan rame jg ga ya?? 🙄",0,0,0,,
dwi.widyarto,AMIN THE BEST,0,0,0,,
yrdhfjr_,Anis presiden aaaminnn,0,0,0,,
dewiendangnr16,Tgl 9 pada dateng ke stadion jalak harupat ya gaesss... deket rumah gueeee 😂✌✌✌✌,1,0,0,,
