username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
storytelliings,"BEDA KELAS SAMA ""DESAK ANIES"" ☝🏼😇✊🏼",0,0,0,,
nina_sitanggang0109,"Kalo emang menurut kita calon calon selarang kaga ada yang bagus, minimal jangan pilih yang terang terangan ngelanggar konstitusi bahkan sebelum nyalon. Masa udh jelas undang undang di ubrak abrik bahkan sama pemerintah itu sendiri untuk kepentingan segelintir pihak masih aja di anggap biasa? Ini negara milik rakyat bukan milik keluarga",2,0,0,,
bani.ochim,Mereka tau gak sih program jagoannya,0,0,0,,
yayuk327,#aminajadulu☝️🇮🇩,0,0,0,,
puspahindahtandi,Ini yg mau mengatasi stroke? Ini yg mengundang stroke 😂,0,0,0,,
dei_junior14,Cuma bisa joget🤣🤣,0,0,0,,
maskus194,Sorry yee ... tetap AMINajah ...,0,0,0,,
fazali_5,Goyang mlu gaada gagasan kah?oh iya 🤡,0,0,0,,
vanila_aa456,Lumayan 2 miliyar,0,0,0,,
syafaakmla_,All in Anies Baswedan,0,0,0,,
maulana.rumi14,Kenapa ya kampanye nya 02 kek gini? Beda bgt sm sebelah yg malah buka ruang diskusi publik..,0,0,0,,
cjhsyiff1,"Alasan milih 02 :gemoy,isi nya pun joget ² g jelas 🤣,g malu joget ² di depan orang banyak macam itu ,g ada rasa malu 🤣,maaf yah kata kata saya menyingung tapi ini fakta",0,0,0,,
achmad7894,02'❤✌,0,0,0,,
fau_190,all in prabowo gibrann✌🏻❤️,0,0,0,,
snd_fzl,Anis presiden 2024🔥,0,0,0,,
dvclrs,✌✌✌,0,0,0,,
jhonyromadhona18,Pemimpin yg ingin rakyat nya jdi biaduan😂😂..traning joget Piro?,0,0,0,,
liaa_6833,Orang yg akal sehatnya kepake pasti pilih 02 ❤️❤️❤️,0,0,0,,
cut.gisel,All in prabowo 1 putaran ❤️🙌🏻,0,0,0,,
syihab0105,"Jualan goyang, otak nol😂😂😂",0,0,0,,
athifah_arief_1,01❤️,0,0,0,,
harold_kombaitan,#Prabowo Gibran satu putaran❤️❤️,0,0,0,,
cikall.ridwan,Gas 02,0,0,0,,
cikall.ridwan,jika di Banten hanya 1 suara itu saya pak Prabowo ✌️,0,0,0,,
sieminggriani,😂😂😂,0,0,0,,
sembokerahma,Insya Allah ✌️✌️,0,0,0,,
laeni_hp,"Giliran gini di toleransi, giliran bersholawat dan sholat Jum'at dibilang jual agama. Aneh bgt",0,0,0,,
ghayah_mahira,Mau cari pemimpin atau penari sih 😌,0,0,0,,
togar_hasibuann,Menuju Indonesia mukbang dan joget2,2,0,0,,
nur.holillah22my,"ORANG BAIK TIDAK PILIH PENCULIK, PELANGGAR HAM & MERUBAH KONSTITUSI 🤟🤟🤟",0,0,0,,
fauziw05,Jual goyang minim gagasan makan tu goyang 😂😂😂😂,0,0,0,,
muhsairman,Selalu renggang dan ga full ya pendukungnya hehe,0,0,0,,
hasminamanente,Maju dua,0,0,0,,
farhan_aulia2,"Dana makan siang pak prabowo akan diambil dari pajak, otomatis ada kenaikan pajak, program susu ada kenaikan IMPOR sapi, alutsista yang bekas dengan harga yang wow",0,0,0,,
fifahh_rismawati01,Cair berapa bang?,0,0,0,,
da.man9225,AMIN kan aja dulu,0,0,0,,
12ilhammaulana,AMIN AJA DULU ❤️,0,0,0,,
firmandoni_23,Bang di bayar berapa kampanye kyak gitu😅,0,0,0,,
lillypakasi,Gasss 02,0,0,0,,
rizki.fee,"Biar enak dilihat, yg di posting gagasan bro.....kan presiden yg di uji gagasannya. Hanya saran",0,0,0,,
evavakrtini,Jenuh liat nya 😂,0,0,0,,
ampas4596,Indonesia butuh org yg visioner bukan hanya goyang2 sesaat,0,0,0,,
ajispotall,Gagasan yg plinplan yg mana boy,0,0,0,,
queennnn108_,"keliatan disini pendukung fans fanatiknya anis yg ingin menjatuhkan orang lain..tau ga kalian anis tanpa prabowo gabakal jadi apa"" wkwk 01 pendukungnya rata"" gapunya attitude belom tau aja jejak digitalnya anis atau pura"" gatau yak😂dasar keturunan sengkuni😮",0,0,0,,
neneng_kulsum,Duuuh mules mau ke toilet,0,0,0,,
asril513,asikk dapat makan gratis 😂😂 . prabowo jadi presiden indonesia jadi grup jedag jedug 😂😂😂,0,0,0,,
putramuhamadshdqi,Anies for presiden ☝️,0,0,0,,
putramuhamadshdqi,Rusak anak bangsa bila didoktrin joget2 gimana kedepannya,0,0,0,,
putramuhamadshdqi,Negara ini negara demokrasi bukan negara dinasti!!,0,0,0,,
misteriuz24,Menuju indonesia pargoy 2024👏,0,0,0,,
agi_satria_alfaresi,"Joget aja bisa nya, kosong akal",0,0,0,,
basis_70,Orang CERDAS pasti tau mana yang cocok jadi presiden,0,0,0,,
basis_70,Amin aja dlu,0,0,0,,
basis_70,All in anisss,0,0,0,,
clndr17,"Kampanye mah gini have fun , bukan tebar janji manis dan fitnah paslon lain woii 🤣🤣 so iyeh bat si yohanis aja di acara2 sering joget2 anjir",0,0,0,,
rumaiishaa,ACARA KAMPANYE APA ACARA JOGET²? KEK ACARA DUGEM,0,0,0,,
joandaffa1,Bersama prabowo menuju indonesiaMUKBANG DAN GOYANG😂😂,0,0,0,,
dianbataz,"Yang penting duitt duitt cair , joget aja dulu ,malu belakangan 🤣😂",0,0,0,,
ky.lnaaa,"ga capresnya ga pendukungnya, doyan joget doang🙈",0,0,0,,
riorfld_,Goyang tantrum 🗿,0,0,0,,
dzonk.zink27,TETAP 01,0,0,0,,
fahridho62,Orng pinter milih Anis🔥,0,0,0,,
im._latif,All in anies baswedan 01,0,0,0,,
tiya_0021,SUMSEL all in prabowogibran👏👏👏✌✌✌✌✌✌✌✌✌💪💪💪💪💪💪💪💪❤❤❤❤❤❤❤❤,0,0,0,,
jacob_steve98,Apa kek gitu selain joget,0,0,0,,
